"Year","Month","Day","Temp.SanDiego","Temp.RapidCity"
1995,3,21,59.1,47
1995,3,22,56,47.8
1995,3,23,56.3,45.5
1995,3,24,53.9,48.8
1995,3,25,55.4,44.4
1995,3,26,57.2,34.6
1995,3,27,59.1,31.5
1995,3,28,59.1,29
1995,3,29,60.3,25.6
1995,3,30,64.1,28.3
1995,3,31,62.9,33.6
1995,4,1,61.8,46.8
1995,4,2,61.6,50.8
1995,4,3,62.3,45.1
1995,4,4,64.2,34.4
1995,4,5,59.8,47.2
1995,4,6,59.7,49.3
1995,4,7,61.3,49.2
1995,4,8,61.8,40.4
1995,4,9,60.4,28.3
1995,4,10,62.5,24.6
1995,4,11,64.6,24.4
1995,4,12,65.1,36.3
1995,4,13,62.8,44.2
1995,4,14,59.2,40.4
1995,4,15,58.1,44.3
1995,4,16,54.9,43.6
1995,4,17,55.4,39.7
1995,4,18,55.2,35.1
1995,4,19,55.1,35.5
1995,4,20,55.6,35.4
1995,4,21,57.4,37.6
1995,4,22,59.8,41.8
1995,4,23,68.3,45.7
1995,4,24,69.1,40.8
1995,4,25,63,45.7
1995,4,26,59.2,37
1995,4,27,61.1,39.3
1995,4,28,62.7,41.4
1995,4,29,63.4,36.6
1995,4,30,64.4,39.1
1995,5,1,64,38.6
1995,5,2,62.4,43
1995,5,3,62.3,44.5
1995,5,4,61,47.1
1995,5,5,58.4,49.1
1995,5,6,56.8,49.8
1995,5,7,58,52.9
1995,5,8,58.7,53.1
1995,5,9,60.1,45.3
1995,5,10,61.1,52.2
1995,5,11,60.6,56.7
1995,5,12,61.3,59.2
1995,5,13,60,44.7
1995,5,14,60.1,45.2
1995,5,15,61.1,58.7
1995,5,16,60.6,59
1995,5,17,61.5,49
1995,5,18,62.6,53.3
1995,5,19,62.3,58.6
1995,5,20,60.4,52.8
1995,5,21,60.5,57.3
1995,5,22,60.9,50.1
1995,5,23,60.3,47.8
1995,5,24,60.4,48.4
1995,5,25,60.6,50.4
1995,5,26,61.7,52.6
1995,5,27,61.2,52.3
1995,5,28,62.3,52.4
1995,5,29,63,55.5
1995,5,30,63.4,59.4
1995,5,31,62,58.1
1995,6,1,62.1,65.2
1995,6,2,63.7,66.6
1995,6,3,61.8,64.1
1995,6,4,63.2,61.8
1995,6,5,62.4,63.5
1995,6,6,63.7,66.8
1995,6,7,62.7,58.4
1995,6,8,60.5,44.5
1995,6,9,62.4,43.3
1995,6,10,63.8,46.9
1995,6,11,68,55
1995,6,12,67,61.1
1995,6,13,63.2,70.6
1995,6,14,62.6,72.8
1995,6,15,63.4,76.5
1995,6,16,61.5,77.1
1995,6,17,62.2,72.7
1995,6,18,64.8,70
1995,6,19,65.1,68.8
1995,6,20,63.8,71.1
1995,6,21,62.4,72
1995,6,22,64.8,63.7
1995,6,23,64.1,61.9
1995,6,24,63.6,60.8
1995,6,25,62.7,61
1995,6,26,63.8,62
1995,6,27,65.6,65.8
1995,6,28,66.5,58.8
1995,6,29,66.8,57
1995,6,30,67.6,52.5
1995,7,1,66.6,58.9
1995,7,2,65.8,66.1
1995,7,3,66.1,65.1
1995,7,4,64.3,64.2
1995,7,5,64.9,62.9
1995,7,6,66.8,67.1
1995,7,7,67,71.1
1995,7,8,66.9,75.4
1995,7,9,67,75.9
1995,7,10,70.7,79.1
1995,7,11,71.4,79.6
1995,7,12,67.5,79.6
1995,7,13,65.5,77.6
1995,7,14,64.5,67.1
1995,7,15,66.2,68.8
1995,7,16,71.2,65.8
1995,7,17,69.1,66.8
1995,7,18,69.6,69.1
1995,7,19,68.4,66.3
1995,7,20,67.6,66
1995,7,21,67.5,69.8
1995,7,22,66.9,64.4
1995,7,23,67.9,66.3
1995,7,24,66.1,71.9
1995,7,25,66.3,68
1995,7,26,67.8,73.5
1995,7,27,69.2,77.2
1995,7,28,68.3,72.8
1995,7,29,69.7,79.3
1995,7,30,66.5,78.3
1995,7,31,68.6,62.5
1995,8,1,70.6,63.6
1995,8,2,70.2,74
1995,8,3,69.5,69.7
1995,8,4,69.4,69.1
